PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2007,4.82,4.18,4.06,5.77,5.57,0.38,0.04,0.09,0.25,0.41,1.55,3.7,2.56
PRECTOTCORR,2008,4.82,0.89,3.7,5.39,7.39,1.03,0.14,0.13,0.57,0.82,2.17,1.66,2.4
PRECTOTCORR,2009,3.78,2.97,4.8,5.93,5.28,0.23,0.03,0.08,0.09,0.3,2.28,0.98,2.22
PRECTOTCORR,2010,1.85,0.64,2.59,2.15,1.17,0.23,0.08,0.1,0.09,0.49,2.67,2.1,1.18
PRECTOTCORR,2011,4.01,3.47,4.95,5.13,1.43,0.38,0.12,0.08,0.06,0.68,1.18,1.09,1.87
PRECTOTCORR,2012,0.77,3.56,2.87,7.8,2.95,1.14,0.03,0.13,0.07,0.34,1.0,2.53,1.92
PRECTOTCORR,2013,2.95,5.07,4.88,6.05,2.69,0.53,0.06,0.03,0.06,0.35,0.93,1.19,2.04
PRECTOTCORR,2014,1.24,4.12,5.08,4.85,6.06,0.33,0.27,0.27,0.38,0.75,1.3,1.53,2.17
PRECTOTCORR,2015,1.88,3.52,4.32,2.27,3.12,0.51,0.55,0.78,0.51,0.48,1.26,3.43,1.88
PRECTOTCORR,2016,1.42,1.41,5.99,2.78,4.63,0.18,0.81,0.51,0.56,1.14,1.87,2.92,2.03
PRECTOTCORR,2017,3.58,2.06,3.19,5.32,1.37,0.75,0.16,0.47,0.28,0.87,1.3,2.79,1.84
PRECTOTCORR,2018,2.98,4.1,1.81,2.3,2.69,0.41,0.3,0.28,0.53,1.27,3.02,5.84,2.12
PRECTOTCORR,2019,2.33,3.68,4.36,4.64,2.67,0.1,0.33,0.37,0.5,0.61,3.25,2.53,2.1
PRECTOTCORR,2020,1.53,1.56,3.72,6.91,2.18,0.42,0.09,0.17,0.15,0.55,1.79,1.77,1.73
PRECTOTCORR,2021,2.45,2.28,6.73,3.39,3.42,0.7,0.08,0.31,0.45,1.5,2.21,3.42,2.25
PRECTOTCORR,2022,2.83,0.72,4.95,6.98,2.82,0.82,0.11,0.16,0.35,1.25,1.79,2.97,2.15
PRECTOTCORR,2023,3.37,2.93,3.82,5.52,4.9,0.38,0.34,0.73,0.29,1.45,3.54,2.69,2.49
PRECTOTCORR,2024,1.27,2.83,4.3,7.8,3.87,0.53,0.27,0.43,0.45,0.72,4.88,2.03,2.44
